NAME,TYPE,LOCATION,
"50yoacr","Container registry","East US"
"airflow","Container instances","East US"
"Application Insights Smart Detection","Action group","Global"
"automation","Automation Account","East US"
"AzureAutomationTutorialWithIdentity (automation/AzureAutomationTutorialWithIdentity)","Runbook","East US"
"AzureAutomationTutorialWithIdentityGraphical (automation/AzureAutomationTutorialWithIdentityGraphical)","Runbook","East US"
"db09262024 (server09262024/db09262024)","SQL database","Australia East"
"fanpy_ws","Azure Machine Learning workspace","East US"
"fanpyws1522792693","Storage account","East US"
"fanpyws5229396313","Key vault","East US"
"fanpyws5271664129","Application Insights","East US"
"fanpyws6642007385","Log Analytics workspace","East US"
"instance09262024","Data factory (V2)","East US"
"mydbtacr","Container registry","East US"
"sample-python-runbook (automation/sample-python-runbook)","Runbook","East US"
"server09262024","SQL server","Australia East"
"sg092620240215","Storage account","East US"
